Dénomination sociale;Rue 1;Rue 2;Rue 3;Ville;Code postal;Code département;Catégorie;Dep;Tél;latitude;longitude;lat-lon
ÉCOLE DE MUSIQUE ET DE DANSE DU THILLAY;Place du 8 mai 1945;;;LE THILLAY;95500;95;Ecole de musique et de danse municipale ou intercommunale;95;;49.001979;2.472412;49.001979, 2.472412
CONSERVATOIRE DE PARIS 14 - DARIUS MILHAUD;26 rue Mouton Duvernet;;;PARIS;75014;75;CRC/CRI - Conservatoire à rayonnement communal;75;01 58 14 20 90;48.832585;2.32555;48.832585, 2.32555
CONSERVATOIRE REGIONAL DE DANSE DE PARIS;8 rue Véron;;;PARIS;75018;75;CRR - Conservatoire à rayonnement régional;75;01 71 28 76 48;48.88436;2.337072;48.88436, 2.337072
ECOLE DE MUSIQUE DE L'HARMONIE DU PAYS DE MEAUX;1 place du Temple;;;MEAUX;77100;77;Ecole de musique et de danse municipale ou intercommunale;77;01 60 25 20 39;48.958224;2.887675;48.958224, 2.887675
ECOLE DE MUSIQUE DE LÉSIGNY;25 rue de Villarceau;;;LÉSIGNY;77150;77;Ecole de musique et de danse municipale ou intercommunale;77;01 60 02 43 99;48.745587;2.616719;48.745587, 2.616719
CONSERVATOIRE DE LA BRIE;59 rue Pasteur;;;BRIE-COMTE-ROBERT;77170;77;CRC/CRI - Conservatoire à rayonnement communal;77;;48.692108;2.618309;48.692108, 2.618309
CONSERVATOIRE DE COMBS-LA-VILLE - MAURICE OHANA;Rue Baptiste Marcet;BP 112;;COMBS-LA-VILLE;77380;77;CRC/CRI - Conservatoire à rayonnement communal;77;01 64 88 77 00;48.655214;2.570037;48.655214, 2.570037
LE TRAIT D'UNION - ECOLE DE MUSIQUE DE BOIS-LE-ROI;11 avenue Gallieni;;;BOIS-LE-ROI;77590;77;Ecole de musique et de danse municipale ou intercommunale;77;01 64 87 11 90;48.474728;2.691469;48.474728, 2.691469
CONSERVATOIRE DE SAINT-GERMAIN-EN-LAYE - CLAUDE DEBUSSY;3 rue du Maréchal Joffre;;;SAINT-GERMAIN-EN-LAYE;78100;78;CRD - Conservatoire à rayonnement départemental;78;;48.894803;2.088963;48.894803, 2.088963
CONSERVATOIRE DES MUREAUX - CENTRE DES ARTS GABRIEL FAURE;Château de Bécheville;;;LES MUREAUX;78130;78;CRC/CRI - Conservatoire à rayonnement communal;78;01 30 91 38 25;48.987253;1.913637;48.987253, 1.913637
CONSERVATOIRE DE ROCQUENCOURT;Communauté d'agglomération de Versailles Grand Parc;7 ter rue de la Porte de Buc;;ROCQUENCOURT;78150;78;CRC/CRI - Conservatoire à rayonnement communal;78;;48.794858;2.138154;48.794858, 2.138154
ECOLE MUNICIPALE DE MUSIQUE DE CROISSY-SUR-SEINE;12 Grande rue;;;CROISSY-SUR-SEINE;78290;78;Ecole de musique et de danse municipale ou intercommunale;78;;48.87754;2.152175;48.87754, 2.152175
ECOLE DE MUSIQUE DE MAUREPAS;4 rue de la Beauce;;;MAUREPAS;78310;78;Ecole de musique et de danse municipale ou intercommunale;78;01 30 66 55 00;48.766829;1.944784;48.766829, 1.944784
ECOLE DE MUSIQUE ET DE DANSE DE GARGENVILLE - NADIA ET LILI BOULANGER;1 avenue Victor Hugo;;;GARGENVILLE;78440;78;Ecole de musique et de danse municipale ou intercommunale;78;;48.976888;1.81187;48.976888, 1.81187
CONSERVATOIRE D'EVRY CENTRE ESSONNE - SITE  CHARLES GOUNOD;Rue des Pyramides;;;BONDOUFLE;91070;91;CRC/CRI - Conservatoire à rayonnement communal;91;;48.611694;2.372597;48.611694, 2.372597
MAISON DE LA DANSE DE VIRY-CHATILLON;Mairie - Service culturel;28 avenue de la République;;VIRY-CHATILLON;91170;91;Ecole de musique et de danse municipale ou intercommunale;91;;48.671761;2.377226;48.671761, 2.377226
CONSERVATOIRE DES PORTES DE L'ESSONNE - ATHIS-MONS;Espace Jean Monnet;Rue Madame Lafosse;;ATHIS-MONS;91200;91;CRC/CRI - Conservatoire à rayonnement communal;91;01 60 48 10 10;48.70957;2.387587;48.70957, 2.387587
CONSERVATOIRE DE WISSOUS;15 Rue Fernand Léger;;;WISSOUS;91320;91;CRC/CRI - Conservatoire à rayonnement communal;91;01 60 19 70 70;48.740481;2.329494;48.740481, 2.329494
CONSERVATOIRE DE GRIGNY;7,9 rue des Petits Pas;;;GRIGNY;91350;91;CRC/CRI - Conservatoire à rayonnement communal;91;01 69 45 03 27;48.651452;2.380136;48.651452, 2.380136
ÉCOLE DE MUSIQUE DE PARAY-VIEILLE-POSTE;Espace Éric-Tabarly;75 avenue Paul Vaillant-Couturier;;PARAY-VIEILLE-POSTE;91550;91;Ecole de musique et de danse municipale ou intercommunale;91;01 60 48 80 60;48.712924;2.364682;48.712924, 2.364682
CONSERVATOIRE DE SAVIGNY-SUR-ORGE - CLAUDE DEBUSSY;25 Grande Rue;;;SAVIGNY-SUR-ORGE;91600;91;CRC/CRI - Conservatoire à rayonnement communal;91;01 69 44 15 75;48.676617;2.355029;48.676617, 2.355029
CONSERVATOIRE DE MEUDON;7 boulevard des Nations Unies;;;MEUDON;92190;92;CRD - Conservatoire à rayonnement départemental;92;01 46 26 22 50;48.813941;2.235261;48.813941, 2.235261
CONSERVATOIRE DE COURBEVOIE;13 bis boulevard Aristide Briand;;;COURBEVOIE;92400;92;CRC/CRI - Conservatoire à rayonnement communal;92;01.47.68.95.93;48.899661;2.258884;48.899661, 2.258884
CONSERVATOIRE DE VILLE-D'AVRAY;10 rue de Marnes;;;VILLE-D'AVRAY;92410;92;CRD - Conservatoire à rayonnement départemental;92;01.47.50.44.28;48.827233;2.186128;48.827233, 2.186128
CONSERVATOIRE DE MONTREUIL;13 avenue de la Résistance;;;MONTREUIL;93100;93;CRD - Conservatoire à rayonnement départemental;93;01 83 74 57 90;48.85867;2.436536;48.85867, 2.436536
CONSERVATOIRE DE BONDY;23 bis rue Roger Salengro;;;BONDY;93140;93;CRC/CRI - Conservatoire à rayonnement communal;93;01 48 50 41 50;48.901127;2.478889;48.901127, 2.478889
CONSERVATOIRE DE SAINT-DENIS;15 rue Catulienne;;;SAINT-DENIS;93200;93;CRC/CRI - Conservatoire à rayonnement communal;93;01 83 72 20 45;48.935689;2.351244;48.935689, 2.351244
CONSERVATOIRE D'ÉPINAY-SUR-SEINE;79 avenue Jean Jaurès;;;EPINAY-SUR-SEINE;93800;93;Ecole de musique et de danse municipale ou intercommunale;93;;48.956428;2.31967;48.956428, 2.31967
ECOLE DE MUSIQUE DU PLESSIS-TREVISE - CESAR FRANCK;31 - 33 avenue Bertrand;;;LE PLESSIS-TREVISE;94420;94;Ecole de musique et de danse municipale ou intercommunale;94;;48.807587;2.582508;48.807587, 2.582508
CONSERVATOIRE DE MAISONS-ALFORT - HENRI DUTILLEUX;85 rue Victor Hugo;;;MAISONS-ALFORT;94700;94;CRC/CRI - Conservatoire à rayonnement communal;94;01 53 48 10 17;48.799778;2.442509;48.799778, 2.442509
CONSERVATOIRE DE DANSE DU VAL DE BIÈVRE - VILLEJUIF;159 avenue de Paris;;;VILLEJUIF;94800;94;CRC/CRI - Conservatoire à rayonnement communal;94;01 53 14 15 99;48.797888;2.366136;48.797888, 2.366136
CONSERVATOIRE DE TAVERNY;44 rue de Montmorency;;;TAVERNY;95150;95;CRC/CRI - Conservatoire à rayonnement communal;95;01.39.60.16.53;49.019169;2.224485;49.019169, 2.224485
ÉCOLE DE MUSIQUE DE LUZARCHES;6 rue de la Pommeraye;;;LUZARCHES;95270;95;Ecole de musique et de danse municipale ou intercommunale;95;01 34 71 91 42;49.109821;2.425617;49.109821, 2.425617
CONSERVATOIRE DE SAINT-BRICE SOUS FORÊT;Centre culturel et sportif Lionel Terray;12 rue Pasteur;;SAINT-BRICE-SOUS-FORET;95350;95;Ecole de musique et de danse municipale ou intercommunale;95;01.39.33.01.85;48.99959;2.358144;48.99959, 2.358144
ECOLE DE MUSIQUE ET DE DANSE DE FOSSES;1, place du 19 mars 1962;;;FOSSES CEDEX;95471;95;Ecole de musique et de danse municipale ou intercommunale;95;;49.098667;2.516033;49.098667, 2.516033
CONSERVATOIRE D'ACHÈRES;Chemin sous le Parc;;;ACHERES;78260;78;CRC/CRI - Conservatoire à rayonnement communal;78;01 39 11 57 77;48.962219;2.062771;48.962219, 2.062771
CONSERVATOIRE DE MONTESSON;70 avenue Molière;;;MONTESSON;78360;78;CRC/CRI - Conservatoire à rayonnement communal;78;01 39 13 46 89;48.9288;2.140238;48.9288, 2.140238
ECOLE MUNICIPALE DE MUSIQUE DE FEUCHEROLLES;Mairie;39 Grande Rue;;FEUCHEROLLES;78810;78;Ecole de musique et de danse municipale ou intercommunale;78;;48.874483;1.974081;48.874483, 1.974081
CONSERVATOIRE D'EVRY CENTRE ESSONNE - SITE IANNIS XENAKIS;9-11 Cours Mgr Roméro;;;EVRY;91000;91;CRD - Conservatoire à rayonnement départemental;91;01 60 77 24 25;48.622852;2.428724;48.622852, 2.428724
CONSERVATOIRE DE LONGJUMEAU - ECOLE MOZART;2 rue de la Peupleraie;;;LONGJUMEAU;91160;91;CRC/CRI - Conservatoire à rayonnement communal;91;;48.695273;2.298667;48.695273, 2.298667
CONSERVATOIRE DE DRAVEIL;2 avenue de Villiers;;;DRAVEIL;91210;91;CRC/CRI - Conservatoire à rayonnement communal;91;01 69 42 34 17;48.681344;2.40389;48.681344, 2.40389
ÉCOLE DE MUSIQUE DE LEUVILLE-SUR-ORGE;Hôtel de ville;28 rue Jules Ferry;;LEUVILLE-SUR-ORGE;91310;91;Ecole de musique et de danse municipale ou intercommunale;91;01 60 85 12 20;48.616205;2.263692;48.616205, 2.263692
CONSERVATOIRE DE VILLEMOISSON-SUR-ORGE;10 avenue du Vieux logis;;;VILLEMOISSON-SUR-ORGE;91360;91;CRC/CRI - Conservatoire à rayonnement communal;91;01 69 04 23 31;48.6648;2.328081;48.6648, 2.328081
ECOLE MUNICIPALE D'ART DE MORSANG-SUR-ORGE;Château;Place des 3 martyrs;;MORSANG-SUR-ORGE;91390;91;Ecole de musique et de danse municipale ou intercommunale;91;;48.664507;2.353111;48.664507, 2.353111
CONSERVATOIRE DE MILLY-LA-FÔRET - LES 2 VALLÉES;3 rue Pierre Houdin;BP 48;;MILLY-LA-FORET;91490;91;CRC/CRI - Conservatoire à rayonnement communal;91;01 64 98 72 76;48.402334;2.470512;48.402334, 2.470512
CONSERVATOIRE DE FLEURY-MÉROGIS;Centre musicale et artistique;Espace Jean-Wiener - Rue Salvador-Allende;;FLEURY-MEROGIS;91706;91;CRC/CRI - Conservatoire à rayonnement communal;91;01 60 16 84 29;48.639471;2.359507;48.639471, 2.359507
CONSERVATOIRE D'ANTONY - DARIUS MILHAUD;136 - 140 avenue de la Division Leclerc;;;ANTONY;92160;92;CRC/CRI - Conservatoire à rayonnement communal;92;01 46 68 65 91;48.744427;2.303081;48.744427, 2.303081
CONSERVATOIRE DE BAGNEUX;4 rue Etienne Dolet;;;BAGNEUX;92220;92;CRC/CRI - Conservatoire à rayonnement communal;92;01 40 92 00 11;48.795634;2.304666;48.795634, 2.304666
CONSERVATOIRE DE CHÂTENAY-MALABRY;Pôle culturel;254 avenue de la Division-Leclerc;;CHATENAY-MALABRY;92290;92;CRC/CRI - Conservatoire à rayonnement communal;92;01.41.87.20.70;48.764602;2.267375;48.764602, 2.267375
CONSERVATOIRE DU PLESSIS-ROBINSON - MAISON DE LA MUSIQUE ET DE LA DANSE;70 rue du Moulin Fidel;;;LE PLESSIS-ROBINSON;92350;92;CRC/CRI - Conservatoire à rayonnement communal;92;01 41 87 81 15;48.775101;2.261851;48.775101, 2.261851
CENTRE CULTUREL DE RUEIL-MALMAISON - EDMOND ROSTAND;20 boulevard Edmond Rostand;;;RUEIL-MALMAISON;92500;92;Ecole de musique et de danse municipale ou intercommunale;92;;48.874384;2.19011;48.874384, 2.19011
CONSERVATOIRE DE PUTEAUX - JEAN-BAPTISTE LULLY;5 bis rue Francis de Pressensé;;;PUTEAUX;92800;92;CRC/CRI - Conservatoire à rayonnement communal;92;;48.876133;2.236179;48.876133, 2.236179
CONSERVATOIRE DE BOBIGNY - JEAN WIENER;2 place de la Libération;;;BOBIGNY;93000;93;CRD - Conservatoire à rayonnement départemental;93;01 48 31 16 62;48.906632;2.438756;48.906632, 2.438756
CONSERVATOIRE DE ROSNY-SOUS-BOIS - FRANCIS POULENC;2 place Carnot;;;ROSNY-SOUS-BOIS;93110;93;CRC/CRI - Conservatoire à rayonnement communal;93;01 45 28 00 85;48.873174;2.482245;48.873174, 2.482245
CONSERVATOIRE DE LIVRY-GARGAN;41 rue Edouard Herriot;;;LIVRY-GARGAN;93190;93;CRC/CRI - Conservatoire à rayonnement communal;93;01 45 09 02 02;48.92032;2.533841;48.92032, 2.533841
CONSERVATOIRE DES LILAS - GABRIEL FAURÉ;35 place Charles De Gaulle;;;LES LILAS;93260;93;CRC/CRI - Conservatoire à rayonnement communal;93;01 83 74 58 05;48.882672;2.418932;48.882672, 2.418932
ECOLE DE MUSIQUE DE MONTFERMEIL;47 rue Henri Barbusse;;;MONTFERMEIL;93370;93;Ecole de musique et de danse municipale ou intercommunale;93;;48.900444;2.567676;48.900444, 2.567676
CONSERVATOIRE DE PIERREFITTE-SUR-SEINE;65 rue Etienne Dolet;;;PIERREFITTE-SUR-SEINE;93380;93;CRC/CRI - Conservatoire à rayonnement communal;93;01 72 09 35 55;48.963122;2.365224;48.963122, 2.365224
CENTRE D'INITIATION CULTURELLE ET ARTISTIQUE DE VILLETANEUSE;4 avenue Victor Hugo;;;VILLETANEUSE;93430;93;Ecole de musique et de danse municipale ou intercommunale;93;01 49 40 76 04;48.964548;2.34394;48.964548, 2.34394
CONSERVATOIRE DE PANTIN;2 rue Sadi Carnot;;;PANTIN;93500;93;CRD - Conservatoire à rayonnement départemental;93;01 83 74 57 40;48.897228;2.402125;48.897228, 2.402125
CONSERVATOIRE DE BRY-SUR-MARNE - HECTOR BERLIOZ;Hôtel Malestroit;2 grande rue Charles de Gaulle;;BRY-SUR-MARNE;94360;94;CRC/CRI - Conservatoire à rayonnement communal;94;01 45 16 68 09;48.834999;2.520124;48.834999, 2.520124
ECOLE MUNICIPALE DE MUSIQUE DE NOISEAU;Hôtel de Ville - Service Caisse des Écoles;Rue Alexandre Milard;;NOISEAU;94370;94;Ecole de musique et de danse municipale ou intercommunale;94;;48.778149;2.54494;48.778149, 2.54494
CONSERVATOIRE DE SAINT-MAURICE - OLIVIER MESSIAEN;30 bis rue du Maréchal Leclerc;;;SAINT-MAURICE;94410;94;CRC/CRI - Conservatoire à rayonnement communal;94;01 45 18 81 59;48.817847;2.424996;48.817847, 2.424996
ECOLE DE MUSIQUE ET DE DANSE DE SANTENY;Hôtel de Ville;Place du Général De Gaulle;;SANTENY;94440;94;Ecole de musique et de danse municipale ou intercommunale;94;;48.725913;2.569774;48.725913, 2.569774
CONSERVATOIRE DE PERSAN;Centre culturel Fernand Chatelain;1 rue Pasteur;;PERSAN;95340;95;CRC/CRI - Conservatoire à rayonnement communal;95;01.39.37.46.86;49.153858;2.276293;49.153858, 2.276293
ECOLE DE MUSIQUE DE MONTMAGNY;10 rue du 11 novembre 1918;;;MONTMAGNY;95360;95;Ecole de musique et de danse municipale ou intercommunale;95;;48.974739;2.345613;48.974739, 2.345613
ECOLE MUNICIPALE DE MUSIQUE DE VAURÉAL;55 / 59 avenue Simone Signoret;;;VAUREAL;95490;95;Ecole de musique et de danse municipale ou intercommunale;95;;49.02638;2.017115;49.02638, 2.017115
CONSERVATOIRE D'EAUBONNE;Maison des Arts;11 rue Cristino Garcia;;EAUBONNE;95600;95;CRC/CRI - Conservatoire à rayonnement communal;95;01.39.59.45.53;48.993372;2.277252;48.993372, 2.277252
ECOLE DE MUSIQUE ET DE DANSE DE BEZONS;26 rue Maurice Berteaux;;;BEZONS;95870;95;Ecole de musique et de danse municipale ou intercommunale;95;;48.924637;2.215055;48.924637, 2.215055
CONSERVATOIRE DE PARIS 01 - W.A. MOZART;58 rue Jean-Jacques Rousseau;;;PARIS;75001;75;CRC/CRI - Conservatoire à rayonnement communal;75;;48.863959;2.343508;48.863959, 2.343508
CONSERVATOIRE DE PARIS 05 - GABRIEL FAURÉ;12 rue de Pontoise;;;PARIS;75005;75;CRC/CRI - Conservatoire à rayonnement communal;75;;48.849966;2.351946;48.849966, 2.351946
CONSERVATOIRE DE PARIS  08 - CAMILLE SAINT-SAËNS;208 rue du Faubourg Saint-Honoré;;;PARIS;75008;75;CRC/CRI - Conservatoire à rayonnement communal;75;;48.875478;2.304358;48.875478, 2.304358
CONSERVATOIRE DE PARIS 10 - HECTOR BERLIOZ;6 rue Pierre Bullet;;;PARIS;75010;75;CRC/CRI - Conservatoire à rayonnement communal;75;01 42 38 33 77;48.871702;2.358263;48.871702, 2.358263
CONSERVATOIRE DE PARIS 11 - CHARLES MUNCH;7 rue Duranti;;;PARIS;75011;75;CRC/CRI - Conservatoire à rayonnement communal;75;01.47.00.86.07;48.86105;2.384269;48.86105, 2.384269
CONSERVATOIRE DE PARIS 16 - FRANCIS POULENC;11 rue Jean de La Fontaine;;;PARIS;75016;75;CRC/CRI - Conservatoire à rayonnement communal;75;01 55 74 70 40;48.852188;2.274692;48.852188, 2.274692
CONSERVATOIRE NATIONAL SUPÉRIEUR DE MUSIQUE ET DE DANSE DE PARIS;209 avenue Jean Jaurès;;;PARIS;75019;75;CRR - Conservatoire à rayonnement régional;75;;48.888703;2.392611;48.888703, 2.392611
CONSERVATOIRE DE PARIS 19 - JACQUES IBERT;81 rue Armand Carrel;;;PARIS;75019;75;CRC/CRI - Conservatoire à rayonnement communal;75;01 42 06 42 70;48.882947;2.371786;48.882947, 2.371786
CONSERVATOIRE DE MELUN - LES DEUX MUSES;26 avenue Georges Pompidou;;;MELUN;77000;77;CRC/CRI - Conservatoire à rayonnement communal;77;01 64 52 00 53;48.549636;2.650488;48.549636, 2.650488
CONSERVATOIRE DE MARNE ET GONDOIRE - COLLÉGIEN;Centre culturel La Couré;20 rue de Melun;;COLLÉGIEN;77090;77;CRC/CRI - Conservatoire à rayonnement communal;77;01 60 35 44 31;48.838068;2.67014;48.838068, 2.67014
CONSERVATOIRE DE PROVINS - PAULINE VIARDOT;10 rue du Général Delort;;;PROVINS;77160;77;CRC/CRI - Conservatoire à rayonnement communal;77;01 60 52 20 05;48.560452;3.306318;48.560452, 3.306318
CONSERVATOIRE DE SAVIGNY-LE-TEMPLE - GABRIEL FAURÉ;221 avenue de l'Europe;;;SAVIGNY-LE-TEMPLE;77176;77;CRC/CRI - Conservatoire à rayonnement communal;77;01 60 63 41 28;48.595188;2.581538;48.595188, 2.581538
ECOLE DE MUSIQUE DE COURTRY;Espace Robert Jacobsen;31, rue Charles Van Wyngène;;COURTRY;77181;77;CRC/CRI - Conservatoire à rayonnement communal;77;01 64 72 65 51;48.916489;2.603492;48.916489, 2.603492
CONSERVATOIRE DU VAL MAUBUÉE;14 allée Boris Vian;;;NOISIEL;77186;77;CRD - Conservatoire à rayonnement départemental;77;01 60 05 76 35;48.844087;2.614228;48.844087, 2.614228
ECOLE DE MUSIQUE DE DAMMARTIN-EN-GOËLLE;1 rue de l'Hôtel Dieu;;;DAMMARTIN-EN-GOËLE;77230;77;Ecole de musique et de danse municipale ou intercommunale;77;;49.054626;2.6808;49.054626, 2.6808
CONSERVATOIRE DE CLAYE-SOUILLY;Mairie;Allée André Benoist;;CLAYE-SOUILLY;77410;77;CRC/CRI - Conservatoire à rayonnement communal;77;01 60 26 50 84;48.946519;2.687743;48.946519, 2.687743
CONSERVATOIRE DE ROISSY-EN-BRIE;Cours de la Ferme d'Ayau;;;ROISSY-EN-BRIE;77680;77;CRC/CRI - Conservatoire à rayonnement communal;77;01 60 34 78 34;48.793283;2.649489;48.793283, 2.649489
CONSERVATOIRE D'OZOIR-LA-FERRIÈRE - MAURICE RAVEL;Ferme Perreire;3 avenue d'Erasme;;OZOIR-LA-FERRIÈRE;77834;77;CRC/CRI - Conservatoire à rayonnement communal;77;01 60 02 71 94;48.757721;2.696421;48.757721, 2.696421
ECOLE DE MUSIQUE ET DE DANSE DE VELIZY-VILLACOUBLAY;29 rue Paulhan;;;VELIZY-VILLACOUBLAY;78140;78;Ecole de musique et de danse municipale ou intercommunale;78;;48.783109;2.180312;48.783109, 2.180312
ECOLE DE MUSIQUE DU CHESNAY;7 avenue Dutartre;;;LE CHESNAY;78150;78;Ecole de musique et de danse municipale ou intercommunale;78;;48.828794;2.120541;48.828794, 2.120541
CONSERVATOIRE DE MARLY-LE-ROI - ROGER BOURDIN;32 avenue de Saint-Germain;;;MARLY-LE-ROI;78160;78;CRC/CRI - Conservatoire à rayonnement communal;78;01 39 58 89 04;48.875535;2.095268;48.875535, 2.095268
CONSERVATOIRE DE VIROFLAY;17 rue Jean Rey;;;VIROFLAY;78220;78;CRC/CRI - Conservatoire à rayonnement communal;78;01 30 24 38 44;48.79925;2.17096;48.79925, 2.17096
ÉCOLE DE MUSIQUE DE JOUY-EN-JOSAS;Maison du Pont de Pierre;1 rue de Montcel;;JOUY-EN-JOSAS;78350;78;Ecole de musique et de danse municipale ou intercommunale;78;01 39 56 37 49;48.765037;2.170073;48.765037, 2.170073
ECOLE DE MUSIQUE DU BOIS-D'ARCY;Rue Baragué;;;BOIS-D'ARCY;78390;78;Ecole de musique et de danse municipale ou intercommunale;78;;48.79902;2.029706;48.79902, 2.029706
CONSERVATOIRE DE CHATOU ESPACE HAL SINGER;85 bd de la République;BP 44;;CHATOU;78401;78;CRC/CRI - Conservatoire à rayonnement communal;78;01 39 52 30 18;48.897712;2.15324;48.897712, 2.15324
CONSERVATOIRE DE SARTROUVILLE;Groupe scolaire Jules Ferry;Rue du 11 novembre;;SARTROUVILLE;78500;78;CRC/CRI - Conservatoire à rayonnement communal;78;01 39 68 94 31;48.932695;2.160104;48.932695, 2.160104
ECOLE MUNICIPALE DES ARTS (EMA) DE SARTROUVILLE;Rue du 11 novembre;;;SARTROUVILLE;78500;78;Ecole de musique et de danse municipale ou intercommunale;78;01 39 68 94 31;48.932695;2.160104;48.932695, 2.160104
ÉCOLE DE MUSIQUE DE BUC;20 rue Louis Massotte, Château de Buc;;;BUC;78530;78;Ecole de musique et de danse municipale ou intercommunale;78;01 39 56 27 85;48.770126;2.123741;48.770126, 2.123741
ECOLE MUNICIPALE DE MUSIQUE ET DE DANSE IVRY GITLIS;4, Boulevard Noel Marc;;;ANDRESY;78570;78;Ecole de musique et de danse municipale ou intercommunale;78;01 39 27 11 00;48.982134;2.061509;48.982134, 2.061509
ECOLE MUNICIPALE DE MUSIQUE - CLAUDE DEBUSSY;Rue du Commerce  Val des quatre Pignons;;;BEYNES;78650;78;CRC/CRI - Conservatoire à rayonnement communal;78;;48.856476;1.904084;48.856476, 1.904084
CONSERVATOIRE DE CONFLANS-SAINTE-HONORINE;74 rue Désiré Clément;;;CONFLANS-SAINTE-HONORINE;78700;78;CRC/CRI - Conservatoire à rayonnement communal;78;01 34 90 88 26;49.002611;2.111974;49.002611, 2.111974
CONSERVATOIRE DE SAINT-ARNOULT-EN-YVELINES;Place du Jeu de Paume;;;SAINT-ARNOULT-EN-YVELINES;78730;78;CRC/CRI - Conservatoire à rayonnement communal;78;;48.572163;1.942065;48.572163, 1.942065
ECOLE DE MUSIQUE ET ART DRAMATIQUE DE BAILLY/NOISY-LE-ROI;49 grande Rue;;;BAILLY;78870;78;Ecole de musique et de danse municipale ou intercommunale;78;01 34 62 54 94;48.842803;2.079693;48.842803, 2.079693
